20181115 300-2960  4510 130013 1 12HCH5
20181115 700-2930  4590 130023 1 12HCH5
201811151000-2900  4650 130023 1 12HCH5
201811151500-2860  4760 130013 1 12HCH5
201811151900-2820  4840 130023 1 12HCH5
201811152200-2790  4890 130023 1 12HCH5
20181116 700-2710  5070 130013 1 12HCH5
201811161000-2690  5130 130023 1 12HCH5
201811161400-2640  5220 130013 1 12HCH5
201811161800-2600  5300 130013 1 12HCH5
201811162100-2570  5360 130023 1 12HCH5
20181117 200-2510  5470 130013 1 12HCH5
20181117 900-2440  5610 130023 1 12HCH5
201811171400-2390  5700 130013 1 12HCH5
201811171800-2350  5770 130013 1 12HCH5
201811172100-2320  5830 130023 1 12HCH5
20181118 200-2270  5920 130013 1 12HCH5
20181118 600-2230  5990 130013 1 12HCH5
201811181000-2180  6070 130023 1 12HCH5
201811181400-2140  6140 130013 1 12HCH5
201811181800-2100  6220 130013 1 12HCH5
201811182100-2060  6280 130023 1 12HCH5
20181119 200-2000  6370 130013 1 12HCH5
20181119 600-1960  6440 130013 1 12HCH5
20181119 900-1930  6490 130023 1 12HCH5
201811191400-1870  6580 130013 1 12HCH5
201811191800-1830  6640 130013 1 12HCH5
201811192100-1800  6700 130023 1 12HCH5
20181120 200-1740  6780 130013 1 12HCH5
20181120 800-1710  6830 130023 1 12HCH5
201811201300-1660  6910 130012 1 12HCH5
201811201700-1610  6980 130013 1 12HCH5
201811202000-1590  7020 130023 1 12HCH5
20181121 100-1530  7090 130013 1 12HCH5
20181121 800-1460  7210 130023 1 12HCH5
201811211300-1400  7290 130013 1 12HCH5
201811211700-1350  7360 130013 1 12HCH5
201811212100-1300  7430 130013 1 12HCH5
20181122 100-1250  7500 130013 1 12HCH5
20181122 500-1200  7570 130013 1 12HCH5
20181122 800-1160  7620 130013 1 12HCH5
201811221300-1100  7700 130013 1 12HCH5
201811221600-1060  7750 130013 1 12HCH5
201811222000-1010  7820 130013 1 12HCH5
20181123 100 -940  7900 130013 1 12HCH5
20181123 500 -880  7960 130013 1 12HCH5
20181123 800 -830  8010 130013 1 12HCH5
201811231200 -770  8070 130013 1 12HCH5
201811231600 -720  8130 130013 1 12HCH5
201811231900 -670  8170 130013 1 12HCH5
20181124   0 -600  8240 130013 1 12HCH5
20181124 700 -500  8350 130013 1 12HCH5
201811241200 -420  8430 130013 1 12HCH5
201811241600 -360  8490 130013 1 12HCH5
201811241900 -310  8540 130023 1 12HCH5
20181125   0 -230  8610 130013 1 12HCH5
20181125 400 -170  8680 130013 1 12HCH5
20181125 900  -90  8750 130013 1 12HCH5
201811251600   20  8870 130013 1 12HCH5
201811251900   70  8920 130013 1 12HCH5
20181126   0  150  9000 130013 1 12HCH5
20181126 600  240  9090 130013 1 12HCH5
201811261100  310  9160 130013 1 12HCH5
201811261500  370  9220 130013 1 12HCH5
201811261800  410  9270 130013 1 12HCH5
201811262300  490  9340 130013 1 12HCH5
20181127 200  540  9390 130013 1 12HCH5
20181127 600  600  9450 130013 1 12HCH5
201811271100  630  9530 130013 1 12HCH5
201811271800  580  9680 130013 1 12HCH5
201811272300  550  9780 130023 1 12HCH5
20181128 600  470  9890 130023 1 12HCH5
201811281100  430  9930 130033 1 12HCH5
201811292300  140 10440 130012 1 12HCH5
20181130 600  260 10490 130013 1 12HCH5
201811301800  460 10630 130013 1 12HCH5
201811302300  530 10710 130013 1 12HCH5
201811 2 600 3920  1510 130032 1 12HFZ6
201811 21900 3720  1570 130042 1 12HFZ6
201811 22200 3660  1570 130042 1 12HFZ6
201811 3 200 3620  1520 130053 1 12HFZ6
201811 4 600 3600  1790 130025 1 12HFZ6
201811 41200 3610  2050 130024 1 12HFZ6
201811 41800 3620  2240 130024 1 12HFZ6
201811 7   0 3420  3000 130034 1 12HFZ6
201811 81300 2970  3250 130042 1 12HFZ6
201811111000 2470  3630 130044 1 12HFZ6
201811111700 2280  3730 130034 1 12HFZ6
20181112 400 1980  3900 130034 1 12HFZ6
201811121200 1770  4020 130034 1 12HFZ6
201811121600 1660  4080 130034 1 12HFZ6
201811122000 1570  4140 130034 1 12HFZ6
20181113 400 1340  4260 130044 1 12HFZ6
201811131600 1210  4600 130025 1 12HFZ6
20181114   0 1320  4890 130025 1 12HFZ6
20181114 800 1390  5160 130025 1 12HFZ6
201811141200 1440  5310 130014 1 12HFZ6
20181115 700 1790  5720 130014 1 12HFZ6
201811151100 1900  5820 130014 1 12HFZ6
201811152300 2190  6000 130084 1 12HFZ6
20181116 300 2290  5970 130084 1 12HFZ6
201811161500 2570  5710 130084 1 12HFZ6
201811162300 2600  5570 130053 1 12HFZ6
20181118 200 2570  5700 130035 1 12HFZ6
201811181000 2380  5950 130035 1 12HFZ6
201811181400 2300  6050 130035 1 12HFZ6
201811182200 2110  6290 130035 1 12HFZ6
201811191000 1840  6640 130034 1 12HFZ6
201811191400 1780  6730 130034 1 12HFZ6
201811192200 1620  6930 130034 1 12HFZ6
20181120 100 1560  7000 130034 1 12HFZ6
201811201300 1350  7270 130034 1 12HFZ6
20181121 200 1050  7550 130034 1 12HFZ6
201811211300  990  7620 130000 1 12HFZ6
20181122 200  880  7620 130042 1 12HFZ6
20181122 900  780  7700 130032 1 12HFZ6
201811221400  750  7790 130032 1 12HFZ6
201811222200  710  7920 130022 1 12HFZ6
201811232100  570  8070 130023 1 12HFZ6
20181124 500  580  8300 130025 1 12HFZ6
201811242000  650  8800 130024 1 12HFZ6
20181125 800  610  9160 130024 1 12HFZ6
201811251200  620  9270 130024 1 12HFZ6
201811252000  630  9480 130024 1 12HFZ6
201811252300  610  9580 130024 1 12HFZ6
201811261100  610  9580 130024 1 12HFZ6
201811271100  270 10100 130034 1 12HFZ6
201811281100  140 10450 130024 1 12HFZ6
201811281900   10 10630 130034 1 12HFZ6
201811282300  -70 10710 130034 1 12HFZ6
201811291800 -440 11080 130033 1 12HFZ6
201811292300 -490 11190 130034 1 12HFZ6
201811301900 -820 11560 130034 1 12HFZ6
201811302300 -870 11520 130033 1 12HFZ6
201811 1   0 3290 13490 130064 1 12HFZ7
201811 1 300 3220 13390 130055 1 12HFZ7
201811 11000 3140 13160 130054 1 12HFZ7
201811 11200 3100 13100 130054 1 12HFZ7
201811 11700 3190 12950 130084 1 12HFZ7
201811 12200 3340 12920 130084 1 12HFZ7
201811 21400 3500 12930 130024 1 12HFZ7
201811 21800 3440 13010 130033 1 12HFZ7
201811 3   0 3380 13130 130025 1 12HFZ7
201811 3 600 3250 13310 130025 1 12HFZ7
201811 31200 3310 13560 130014 1 12HFZ7
201811 41400 3430 13840 130024 1 12HFZ7
201811 51100 3480 13960 130055 1 12HFZ7
201811 51300 3440 13890 130064 1 12HFZ7
201811 61000 3440 13700 130044 1 12HFZ7
201811 61400 3360 13610 130054 1 12HFZ7
201811 61800 3350 13520 130074 1 12HFZ7
